fips,county_name,households,population
40143,"Tulsa County, OK",268530,693514
40145,"Wagoner County, OK",30565,91257
40147,"Washington County, OK",20596,54060
40149,"Washita County, OK",4101,10839
40151,"Woods County, OK",3488,8582
40153,"Woodward County, OK",8116,19991
41001,"Baker County, OR",7263,16750
41003,"Benton County, OR",38286,98899
41005,"Clackamas County, OR",162762,425857
41007,"Clatsop County, OR",18095,41043
41009,"Columbia County, OR",20710,54063
41011,"Coos County, OR",28417,64326
41013,"Crook County, OR",10647,27336
41015,"Curry County, OR",11280,22774
41017,"Deschutes County, OR",83197,211535
41019,"Douglas County, OR",46677,112255
41021,"Gilliam County, OR",869,1971
41023,"Grant County, OR",3352,7093
41025,"Harney County, OR",3141,7402
41027,"Hood River County, OR",9021,23764
41029,"Jackson County, OR",90679,221331
41031,"Jefferson County, OR",8659,25536
41033,"Josephine County, OR",36336,88276
41035,"Klamath County, OR",28840,70438
41037,"Lake County, OR",3422,8194
41039,"Lane County, OR",159509,382396
41041,"Lincoln County, OR",22829,51212
41043,"Linn County, OR",50534,132474
41045,"Malheur County, OR",10039,32315
41047,"Marion County, OR",125413,352867
41049,"Morrow County, OR",4322,12360
41051,"Multnomah County, OR",347392,795897
41053,"Polk County, OR",32574,90549
41055,"Sherman County, OR",784,2002
41057,"Tillamook County, OR",11817,27264
41059,"Umatilla County, OR",28194,80491
41061,"Union County, OR",10856,26058
41063,"Wallowa County, OR",3356,7522
41065,"Wasco County, OR",10411,26507
41067,"Washington County, OR",232366,611272
41069,"Wheeler County, OR",663,1456
41071,"Yamhill County, OR",38836,110886
42001,"Adams County, PA",40411,107914
42003,"Allegheny County, PA",546507,1231814
42005,"Armstrong County, PA",28007,63679
42007,"Beaver County, PA",71975,165540
42009,"Bedford County, PA",19763,47643
42011,"Berks County, PA",161701,439117
42013,"Blair County, PA",50548,120269
42015,"Bradford County, PA",24487,59699
42017,"Bucks County, PA",247674,650131
42019,"Butler County, PA",80245,199341
42021,"Cambria County, PA",55692,130108
42023,"Cameron County, PA",2229,4348
42025,"Carbon County, PA",27093,65743
42027,"Centre County, PA",59006,159805
42029,"Chester County, PA",202405,560745
